epoch,train_total,train_one_step,train_rollout,valid_1step_mean_per_field,valid_1step_sqrt_mean_mse_over_mean_var,valid_1step_sqrt_sum_mse_over_sum_var,valid_1step_per_field,valid_rollout_mean_per_field,valid_rollout_sqrt_mean_mse_over_mean_var,valid_rollout_sqrt_sum_mse_over_sum_var,valid_rollout_per_field
1,0.46508672880999585,0.20766700571733163,0.36125322595133,0.45961374044418335,0.47954073548316956,0.47954076528549194,"[0.2820245623588562, 0.6001923084259033, 0.44173464179039, 0.5145034193992615]",0.5833279490470886,0.6038433313369751,0.6038433909416199,"[0.39780935645103455, 0.733680784702301, 0.5342254638671875, 0.667596161365509]"
2,0.39620105399096267,0.19285973206373816,0.2997711895046927,0.4286644458770752,0.4467802047729492,0.4467802345752716,"[0.25252169370651245, 0.5381238460540771, 0.4320257604122162, 0.49198654294013977]",0.5034334063529968,0.5226014256477356,0.5226014852523804,"[0.3111647069454193, 0.6092186570167542, 0.5003031492233276, 0.593047022819519]"
3,0.31275328372915584,0.16221103455263672,0.23164776614900176,0.3931930959224701,0.4106864035129547,0.4106864333152771,"[0.22269420325756073, 0.48448389768600464, 0.40189990401268005, 0.46369439363479614]",0.44792497158050537,0.4672561287879944,0.4672561585903168,"[0.264349102973938, 0.541954517364502, 0.44214093685150146, 0.5432553291320801]"
4,0.2646272823954305,0.13667959159781748,0.19628748720419323,0.3626329302787781,0.3795846104621887,0.3795846402645111,"[0.19754287600517273, 0.44059062004089355, 0.37825047969818115, 0.43414777517318726]",0.4168059229850769,0.43471255898475647,0.43471261858940125,"[0.2423466295003891, 0.4979371428489685, 0.4212218225002289, 0.5057181715965271]"
5,0.23295780945014447,0.1172287791491823,0.17434342023223004,0.339199423789978,0.35531318187713623,0.35531318187713623,"[0.18197333812713623, 0.412003755569458, 0.35822126269340515, 0.4045993387699127]",0.3984510898590088,0.41520944237709045,0.41520947217941284,"[0.23367059230804443, 0.4830266535282135, 0.4033985137939453, 0.4737085700035095]"
6,0.2113577645298437,0.10448986299811526,0.15911283366487805,0.32189977169036865,0.33734744787216187,0.33734747767448425,"[0.17095085978507996, 0.39034751057624817, 0.34283769130706787, 0.3834630250930786]",0.3813092112541199,0.3966032564640045,0.3966032862663269,"[0.2272384911775589, 0.46181830763816833, 0.38839611411094666, 0.447783887386322]"
7,0.1962995356913154,0.09539751172171416,0.14860078005503255,0.3147108256816864,0.33009594678878784,0.33009594678878784,"[0.1658557802438736, 0.38183265924453735, 0.33409154415130615, 0.3770633637905121]",0.3729628026485443,0.3897964060306549,0.3897964358329773,"[0.21158915758132935, 0.4558556079864502, 0.37922510504722595, 0.44518139958381653]"
8,0.18398343174592824,0.08849721689252778,0.13973482312462854,0.29702436923980713,0.31166014075279236,0.31166014075279236,"[0.1546914428472519, 0.3583749532699585, 0.3192964494228363, 0.35573455691337585]",0.36213573813438416,0.3788698613643646,0.3788698613643646,"[0.20290246605873108, 0.44228124618530273, 0.36899781227111816, 0.43436142802238464]"
9,0.1712140959311039,0.081444246450056,0.13049197311889618,0.2898397445678711,0.30445387959480286,0.30445390939712524,"[0.1493004858493805, 0.3500978350639343, 0.3109429180622101, 0.34901776909828186]",0.357623428106308,0.37496218085289,0.37496218085289,"[0.19657664000988007, 0.44177037477493286, 0.36300477385520935, 0.42914196848869324]"
10,0.1614041546663494,0.07633785301726972,0.12323522863658608,0.2907055616378784,0.30469003319740295,0.30469003319740295,"[0.15425489842891693, 0.3515213131904602, 0.3091568946838379, 0.34788909554481506]",0.36652082204818726,0.38366782665252686,0.38366785645484924,"[0.20835553109645844, 0.45193803310394287, 0.36326587200164795, 0.4425237774848938]"
