epoch,train_total,train_one_step,train_rollout,valid_1step_mean_per_field,valid_1step_sqrt_mean_mse_over_mean_var,valid_1step_sqrt_sum_mse_over_sum_var,valid_1step_per_field,valid_rollout_mean_per_field,valid_rollout_sqrt_mean_mse_over_mean_var,valid_rollout_sqrt_sum_mse_over_sum_var,valid_rollout_per_field
1,0.39168092617258676,0.21602886187762516,0.283666493349112,0.41100168228149414,0.432913213968277,0.432913213968277,"[0.22603479027748108, 0.5444502830505371, 0.39964091777801514, 0.4738808274269104]",0.47777143120765686,0.5015537142753601,0.5015537142753601,"[0.282781183719635, 0.6330048441886902, 0.44542771577835083, 0.5498719215393066]"
2,0.3127818493696533,0.15586266484349331,0.23485051666168458,0.377980500459671,0.4018435776233673,0.4018435776233673,"[0.18197770416736603, 0.49281755089759827, 0.3760128617286682, 0.46111392974853516]",0.45019474625587463,0.4760703444480896,0.476070374250412,"[0.24023902416229248, 0.5759981870651245, 0.42523089051246643, 0.5593109130859375]"
3,0.2809556564822546,0.13353430506185437,0.21418850316751933,0.3530125021934509,0.37341442704200745,0.37341445684432983,"[0.17520257830619812, 0.4427785575389862, 0.3586502969264984, 0.4354184865951538]",0.4341389238834381,0.45680347084999084,0.4568035304546356,"[0.23554125428199768, 0.5390993356704712, 0.42650291323661804, 0.5354122519493103]"
4,0.25775866018471705,0.11928885371972484,0.19811423201263656,0.33503401279449463,0.3532511591911316,0.353251188993454,"[0.17077314853668213, 0.4223484694957733, 0.3458568751811981, 0.40115752816200256]",0.4161573052406311,0.436741441488266,0.4367414712905884,"[0.23030441999435425, 0.5209423899650574, 0.41374671459198, 0.4996357262134552]"
5,0.2377694914421291,0.10737464290297201,0.18408216858375157,0.3267703354358673,0.3457169830799103,0.34571701288223267,"[0.16149435937404633, 0.41762471199035645, 0.3354184925556183, 0.39254382252693176]",0.40820232033729553,0.43037673830986023,0.4303767681121826,"[0.22244033217430115, 0.5277767181396484, 0.3920971155166626, 0.49049505591392517]"
6,0.22660276539465216,0.10103495948316076,0.17608528519071304,0.3117485046386719,0.32954585552215576,0.32954588532447815,"[0.15453921258449554, 0.3898458778858185, 0.32030925154685974, 0.3822997510433197]",0.39054960012435913,0.4119029641151428,0.4119029939174652,"[0.20982223749160767, 0.49281537532806396, 0.3774358630180359, 0.4821249842643738]"
7,0.21701767528980054,0.09550066152257276,0.16926734428632625,0.30428147315979004,0.32086262106895447,0.32086262106895447,"[0.15381748974323273, 0.37635233998298645, 0.31539323925971985, 0.37156280875205994]",0.3891693949699402,0.40916913747787476,0.40916916728019714,"[0.21288684010505676, 0.49470096826553345, 0.3845517933368683, 0.46453800797462463]"
8,0.2061171018943437,0.08996534349295546,0.16113442968110384,0.2918664515018463,0.30793237686157227,0.30793237686157227,"[0.1453794687986374, 0.35873833298683167, 0.306247353553772, 0.35710063576698303]",0.37076884508132935,0.3893548846244812,0.3893548846244812,"[0.20263507962226868, 0.46026572585105896, 0.37083181738853455, 0.4493426978588104]"
9,0.19638109227409037,0.08495972630508403,0.1539012289233946,0.2946956753730774,0.3109076917171478,0.3109077215194702,"[0.1471814662218094, 0.3632233142852783, 0.308281272649765, 0.3600965738296509]",0.3775315284729004,0.39679768681526184,0.39679768681526184,"[0.20673827826976776, 0.4771781861782074, 0.3736027479171753, 0.4526068866252899]"
10,0.18918609337321973,0.0816975686804834,0.14833730849355953,0.28404784202575684,0.2988426685333252,0.2988426685333252,"[0.14617504179477692, 0.34621289372444153, 0.29695531725883484, 0.34684813022613525]",0.3641626536846161,0.3813532590866089,0.3813532888889313,"[0.20610398054122925, 0.4469030201435089, 0.3607829511165619, 0.4428607225418091]"
11,0.1819435062049833,0.07856917800051523,0.14265891656843202,0.2822589874267578,0.297329306602478,0.2973293364048004,"[0.14344824850559235, 0.34380143880844116, 0.29458633065223694, 0.34719982743263245]",0.36518463492393494,0.3829720914363861,0.3829721212387085,"[0.2023192197084427, 0.4469807744026184, 0.36489877104759216, 0.4465397596359253]"
12,0.17543515638749932,0.07563453322236842,0.13761788928093077,0.2750979959964752,0.29014211893081665,0.29014214873313904,"[0.13666434586048126, 0.3374340534210205, 0.2914668023586273, 0.3348267674446106]",0.35569512844085693,0.3726717531681061,0.37267178297042847,"[0.19702444970607758, 0.4385475218296051, 0.36091941595077515, 0.4262892007827759]"
13,0.17026566491235515,0.07277082513586286,0.13388025170592832,0.2972944676876068,0.31371182203292847,0.31371185183525085,"[0.14791247248649597, 0.37515461444854736, 0.3148674964904785, 0.3512432277202606]",0.3988562226295471,0.41915884613990784,0.4191588759422302,"[0.21843421459197998, 0.5029212236404419, 0.39506274461746216, 0.47900670766830444]"
14,0.1634555487997002,0.07048517545513439,0.12821296050299144,0.26822710037231445,0.2827260494232178,0.28272607922554016,"[0.13526493310928345, 0.32841360569000244, 0.2804526686668396, 0.32877716422080994]",0.35073840618133545,0.36753591895103455,0.36753594875335693,"[0.19526468217372894, 0.4347211420536041, 0.35282397270202637, 0.4201437830924988]"
15,0.15926376228214156,0.06826629151918223,0.12513061608000708,0.2726885676383972,0.2871115505695343,0.2871115803718567,"[0.13820987939834595, 0.3324623703956604, 0.28813061118125916, 0.33195143938064575]",0.35534530878067017,0.3709747791290283,0.3709748089313507,"[0.20419928431510925, 0.4328969419002533, 0.36047643423080444, 0.42380860447883606]"
16,0.15798411294641787,0.06751706953827583,0.12422557756410423,0.26703035831451416,0.2811543941497803,0.28115442395210266,"[0.13555173575878143, 0.32653331756591797, 0.28159552812576294, 0.3244408369064331]",0.3507230281829834,0.36695632338523865,0.36695635318756104,"[0.19817116856575012, 0.43302881717681885, 0.3533104360103607, 0.4183817505836487]"
